时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%),current_strategy,market_regime,max_position,position_gap,position_limit,position_ratio,stock_pool_size,target_position_ratio
2019-01-02 16:00:00,-1.37,2.18,1091,0,37586,0,3.6,1,5,0.8,0.042684621557613,3,0.75731537844239,10,0.8
2019-01-03 16:00:00,-1.52,3.64,730.52,0,0,-39477,5.24,1,5,0.8,0.8,3,0,10,0.8
2019-01-04 16:00:00,0.84,3.64,0,0,0,0,2.78,1,5,0.8,0.8,3,0,10,0.8
2019-01-07 16:00:00,1.45,6.97,1663,0,40358,0,5.44,1,5,0.8,0.014053007446659,3,0.78594699255334,10,0.8
2019-01-08 16:00:00,1.23,8.76,893.23,0,0,-15770,7.44,1,2,0.95,0.4501632377123,5,0.4998367622877,20,0.95
2019-01-09 16:00:00,2.25,8.41,0,-174,0,0,6.02,1,2,0.95,0.45176881663526,5,0.49823118336474,20,0.95
2019-01-10 16:00:00,2.06,8.96,276,0,0,0,6.76,1,2,0.95,0.44922680449744,5,0.50077319550256,20,0.95
2019-01-11 16:00:00,2.79,9.07,54,0,0,0,6.11,1,2,0.95,0.44873246391093,5,0.50126753608907,20,0.95
2019-01-14 16:00:00,1.9,9.71,320.44,0,27703,-7560,7.66,1,2,0.95,0.078015610401925,5,0.87198438959808,20,0.95
2019-01-15 16:00:00,3.9,10.26,278,0,0,0,6.12,1,2,0.95,0.07737010116757,5,0.87262989883243,20,0.95
2019-01-16 16:00:00,3.92,9.45,0,-406.07,0,-18074,5.32,1,2,0.95,0.40806498721387,5,0.54193501278612,20,0.95
2019-01-17 16:00:00,3.35,7.41,0,-1021,0,0,3.93,1,2,0.95,0.4167733628893,5,0.5332266371107,20,0.95
2019-01-18 16:00:00,5.23,7.83,207.69,0,0,-9312,2.47,1,2,0.95,0.58743308709561,5,0.36256691290439,20,0.95
2019-01-21 16:00:00,5.81,7.96,66.36,0,0,-19643,2.03,1,1,0.95,0.95,5,0,0,0.95
2019-01-22 16:00:00,4.41,7.96,0,0,0,0,3.4,1,1,0.95,0.95,5,0,0,0.95
2019-01-23 16:00:00,4.33,7.96,0,0,0,0,3.48,1,2,0.95,0.95,5,0,20,0.95
2019-01-24 16:00:00,4.92,7.96,0,0,0,0,2.9,1,2,0.95,0.95,5,0,20,0.95
2019-01-25 16:00:00,5.77,7.96,0,0,0,0,2.07,1,2,0.95,0.95,5,0,20,0.95
2019-01-28 16:00:00,5.75,3.83,0,-2062,47884,0,-1.82,1,2,0.95,0.066920176918755,5,0.88307982308125,20,0.95
2019-01-29 16:00:00,6.09,2.16,0,-834.68,0,-26679,-3.7,1,2,0.95,0.59028766415729,5,0.35971233584271,20,0.95
2019-01-30 16:00:00,5.24,-0.51,0,-1337,0,0,-5.46,1,2,0.95,0.60749655471245,5,0.34250344528755,20,0.95
2019-01-31 16:00:00,6.34,-2.12,0,-804.97,0,-8967,-7.96,1,2,0.95,0.80124799864194,5,0.14875200135806,20,0.95
